country,country_name,country_total,event_key,event_label,gender,distance_m,top200_count,best_rank
CAN,Canada,58,F200,Women's 200m Freestyle,F,200,16,15
CAN,Canada,58,F400,Women's 400m Freestyle,F,400,20,1
CAN,Canada,58,F800,Women's 800m Freestyle,F,800,5,3
CAN,Canada,58,M50,Men's 50m Freestyle,M,50,1,133
CAN,Canada,58,M100,Men's 100m Freestyle,M,100,4,51
CAN,Canada,58,M200,Men's 200m Freestyle,M,200,0,
CAN,Canada,58,M400,Men's 400m Freestyle,M,400,1,110
CAN,Canada,58,M800,Men's 800m Freestyle,M,800,7,55
BRA,Brazil,49,F50,Women's 50m Freestyle,F,50,0,
BRA,Brazil,49,F100,Women's 100m Freestyle,F,100,0,
BRA,Brazil,49,F200,Women's 200m Freestyle,F,200,0,
BRA,Brazil,49,F400,Women's 400m Freestyle,F,400,0,
BRA,Brazil,49,F800,Women's 800m Freestyle,F,800,0,
BRA,Brazil,49,M50,Men's 50m Freestyle,M,50,30,2
BRA,Brazil,49,M100,Men's 100m Freestyle,M,100,9,9
BRA,Brazil,49,M200,Men's 200m Freestyle,M,200,2,49
BRA,Brazil,49,M400,Men's 400m Freestyle,M,400,6,61
BRA,Brazil,49,M800,Men's 800m Freestyle,M,800,2,175
HKG,"Hong Kong, China",44,F50,Women's 50m Freestyle,F,50,0,
HKG,"Hong Kong, China",44,F100,Women's 100m Freestyle,F,100,21,3
HKG,"Hong Kong, China",44,F200,Women's 200m Freestyle,F,200,23,26
HKG,"Hong Kong, China",44,F400,Women's 400m Freestyle,F,400,0,
HKG,"Hong Kong, China",44,F800,Women's 800m Freestyle,F,800,0,
HKG,"Hong Kong, China",44,M50,Men's 50m Freestyle,M,50,0,
HKG,"Hong Kong, China",44,M100,Men's 100m Freestyle,M,100,0,
HKG,"Hong Kong, China",44,M200,Men's 200m Freestyle,M,200,0,
HKG,"Hong Kong, China",44,M400,Men's 400m Freestyle,M,400,0,
HKG,"Hong Kong, China",44,M800,Men's 800m Freestyle,M,800,0,
ROU,Romania,44,F50,Women's 50m Freestyle,F,50,0,
ROU,Romania,44,F100,Women's 100m Freestyle,F,100,0,
ROU,Romania,44,F200,Women's 200m Freestyle,F,200,0,
ROU,Romania,44,F400,Women's 400m Freestyle,F,400,0,
ROU,Romania,44,F800,Women's 800m Freestyle,F,800,1,115
ROU,Romania,44,M50,Men's 50m Freestyle,M,50,0,
ROU,Romania,44,M100,Men's 100m Freestyle,M,100,25,2
ROU,Romania,44,M200,Men's 200m Freestyle,M,200,18,4
ROU,Romania,44,M400,Men's 400m Freestyle,M,400,0,
ROU,Romania,44,M800,Men's 800m Freestyle,M,800,0,
