activity,activity_order,age_group,age_group_order,participation_rate_pct,estimated_participants,source_cohort,rank_in_source_top10,has_full_age_profile_0to65,activity_age_label
Dancing (recreational),6,5-8,2,8.7,111361,Children and teens 0-17,6,No,Dancing (recreational) (5-8)
Dancing (recreational),6,9-11,3,5.5,55615,Children and teens 0-17,6,No,Dancing (recreational) (9-11)
Dancing (recreational),6,12-14,4,4.3,43867,Children and teens 0-17,6,No,Dancing (recreational) (12-14)
Dancing (recreational),6,15-17,5,2.6,26498,Children and teens 0-17,6,No,Dancing (recreational) (15-17)
Netball,7,0-4,1,0.3,4777,Children and teens 0-17,7,No,Netball (0-4)
Netball,7,5-8,2,3.6,46519,Children and teens 0-17,7,No,Netball (5-8)
Netball,7,9-11,3,8.3,83894,Children and teens 0-17,7,No,Netball (9-11)
Netball,7,12-14,4,10.3,104125,Children and teens 0-17,7,No,Netball (12-14)
Netball,7,15-17,5,8.1,82164,Children and teens 0-17,7,No,Netball (15-17)
Pilates,7,18-24,6,8.8,217009,Adults 18+,7,No,Pilates (18-24)
Pilates,7,25-34,7,11.0,448430,Adults 18+,7,No,Pilates (25-34)
Pilates,7,35-44,8,8.7,338305,Adults 18+,7,No,Pilates (35-44)
Pilates,7,45-54,9,7.1,238313,Adults 18+,7,No,Pilates (45-54)
Pilates,7,55-64,10,6.3,193472,Adults 18+,7,No,Pilates (55-64)
Pilates,7,65+,11,3.2,151963,Adults 18+,7,No,Pilates (65+)
Tennis,8,0-4,1,0.7,11067,Children and teens 0-17,8,Yes,Tennis (0-4)
Tennis,8,5-8,2,4.5,57518,Children and teens 0-17,8,Yes,Tennis (5-8)
Tennis,8,9-11,3,6.3,63469,Children and teens 0-17,8,Yes,Tennis (9-11)
Tennis,8,12-14,4,5.5,55436,Children and teens 0-17,8,Yes,Tennis (12-14)
Tennis,8,15-17,5,9.5,95372,Children and teens 0-17,8,Yes,Tennis (15-17)
Tennis,8,18-24,6,7.5,185484,Adults 18+,10,Yes,Tennis (18-24)
Tennis,8,25-34,7,6.5,263537,Adults 18+,10,Yes,Tennis (25-34)
Tennis,8,35-44,8,5.3,205044,Adults 18+,10,Yes,Tennis (35-44)
Tennis,8,45-54,9,5.3,176120,Adults 18+,10,Yes,Tennis (45-54)
Tennis,8,55-64,10,3.3,101658,Adults 18+,10,Yes,Tennis (55-64)
Tennis,8,65+,11,1.9,91192,Adults 18+,10,Yes,Tennis (65+)
Cricket,9,0-4,1,0.6,8790,Children and teens 0-17,9,No,Cricket (0-4)
Cricket,9,5-8,2,3.5,44434,Children and teens 0-17,9,No,Cricket (5-8)
Cricket,9,9-11,3,5.4,54231,Children and teens 0-17,9,No,Cricket (9-11)
Cricket,9,12-14,4,5.5,55726,Children and teens 0-17,9,No,Cricket (12-14)
Cricket,9,15-17,5,8.4,85087,Children and teens 0-17,9,No,Cricket (15-17)
Yoga,9,18-24,6,3.6,89360,Adults 18+,9,No,Yoga (18-24)
Yoga,9,25-34,7,6.4,261525,Adults 18+,9,No,Yoga (25-34)
Yoga,9,35-44,8,6.3,243997,Adults 18+,9,No,Yoga (35-44)
Yoga,9,45-54,9,6.1,204092,Adults 18+,9,No,Yoga (45-54)
Yoga,9,55-64,10,5.6,172134,Adults 18+,9,No,Yoga (55-64)
Yoga,9,65+,11,3.2,150682,Adults 18+,9,No,Yoga (65+)
"Athletics, track and field",10,0-4,1,1.2,17498,Children and teens 0-17,10,No,"Athletics, track and field (0-4)"
"Athletics, track and field",10,5-8,2,3.6,46628,Children and teens 0-17,10,No,"Athletics, track and field (5-8)"
"Athletics, track and field",10,9-11,3,4.4,44346,Children and teens 0-17,10,No,"Athletics, track and field (9-11)"
"Athletics, track and field",10,12-14,4,4.8,48341,Children and teens 0-17,10,No,"Athletics, track and field (12-14)"
"Athletics, track and field",10,15-17,5,5.8,58056,Children and teens 0-17,10,No,"Athletics, track and field (15-17)"
