rank,cohort,activity,segment_type,segment,segment_order,participation_rate_pct,estimated_participants,source_table_note
6,Adults 18+,Cycling,Gender,Males,2,10.4,1157189,AusPlay adult table; 15-17 age group excluded and moved to children file
6,Adults 18+,Cycling,Gender,Females,3,6.3,714844,AusPlay adult table; 15-17 age group excluded and moved to children file
6,Adults 18+,Cycling,Age group,18-24,4,5.6,138523,AusPlay adult table; 15-17 age group excluded and moved to children file
6,Adults 18+,Cycling,Age group,25-34,5,7.1,289821,AusPlay adult table; 15-17 age group excluded and moved to children file
6,Adults 18+,Cycling,Age group,35-44,6,9.3,359518,AusPlay adult table; 15-17 age group excluded and moved to children file
6,Adults 18+,Cycling,Age group,45-54,7,11.6,387336,AusPlay adult table; 15-17 age group excluded and moved to children file
6,Adults 18+,Cycling,Age group,55-64,8,12.0,369466,AusPlay adult table; 15-17 age group excluded and moved to children file
6,Adults 18+,Cycling,Age group,65+,9,5.6,265489,AusPlay adult table; 15-17 age group excluded and moved to children file
7,Adults 18+,Pilates,Total,Total,1,7.2,1625325,AusPlay adult table; 15-17 age group excluded and moved to children file
7,Adults 18+,Pilates,Gender,Males,2,1.2,133940,AusPlay adult table; 15-17 age group excluded and moved to children file
7,Adults 18+,Pilates,Gender,Females,3,13.0,1485621,AusPlay adult table; 15-17 age group excluded and moved to children file
7,Adults 18+,Pilates,Age group,18-24,4,8.8,217009,AusPlay adult table; 15-17 age group excluded and moved to children file
7,Adults 18+,Pilates,Age group,25-34,5,11.0,448430,AusPlay adult table; 15-17 age group excluded and moved to children file
7,Adults 18+,Pilates,Age group,35-44,6,8.7,338305,AusPlay adult table; 15-17 age group excluded and moved to children file
7,Adults 18+,Pilates,Age group,45-54,7,7.1,238313,AusPlay adult table; 15-17 age group excluded and moved to children file
7,Adults 18+,Pilates,Age group,55-64,8,6.3,193472,AusPlay adult table; 15-17 age group excluded and moved to children file
7,Adults 18+,Pilates,Age group,65+,9,3.2,151963,AusPlay adult table; 15-17 age group excluded and moved to children file
8,Adults 18+,Football/soccer,Total,Total,1,5.6,1273027,AusPlay adult table; 15-17 age group excluded and moved to children file
8,Adults 18+,Football/soccer,Gender,Males,2,8.9,984043,AusPlay adult table; 15-17 age group excluded and moved to children file
8,Adults 18+,Football/soccer,Gender,Females,3,2.5,285765,AusPlay adult table; 15-17 age group excluded and moved to children file
8,Adults 18+,Football/soccer,Age group,18-24,4,12.3,305475,AusPlay adult table; 15-17 age group excluded and moved to children file
8,Adults 18+,Football/soccer,Age group,25-34,5,9.4,380740,AusPlay adult table; 15-17 age group excluded and moved to children file
8,Adults 18+,Football/soccer,Age group,35-44,6,6.9,269541,AusPlay adult table; 15-17 age group excluded and moved to children file
8,Adults 18+,Football/soccer,Age group,45-54,7,3.3,109556,AusPlay adult table; 15-17 age group excluded and moved to children file
8,Adults 18+,Football/soccer,Age group,55-64,8,1.0,29506,AusPlay adult table; 15-17 age group excluded and moved to children file
8,Adults 18+,Football/soccer,Age group,65+,9,0.1,6496,AusPlay adult table; 15-17 age group excluded and moved to children file
9,Adults 18+,Yoga,Total,Total,1,5.1,1148005,AusPlay adult table; 15-17 age group excluded and moved to children file
9,Adults 18+,Yoga,Gender,Males,2,1.6,176385,AusPlay adult table; 15-17 age group excluded and moved to children file
9,Adults 18+,Yoga,Gender,Females,3,8.5,968047,AusPlay adult table; 15-17 age group excluded and moved to children file
9,Adults 18+,Yoga,Age group,18-24,4,3.6,89360,AusPlay adult table; 15-17 age group excluded and moved to children file
9,Adults 18+,Yoga,Age group,25-34,5,6.4,261525,AusPlay adult table; 15-17 age group excluded and moved to children file
9,Adults 18+,Yoga,Age group,35-44,6,6.3,243997,AusPlay adult table; 15-17 age group excluded and moved to children file
9,Adults 18+,Yoga,Age group,45-54,7,6.1,204092,AusPlay adult table; 15-17 age group excluded and moved to children file
9,Adults 18+,Yoga,Age group,55-64,8,5.6,172134,AusPlay adult table; 15-17 age group excluded and moved to children file
9,Adults 18+,Yoga,Age group,65+,9,3.2,150682,AusPlay adult table; 15-17 age group excluded and moved to children file
10,Adults 18+,Tennis,Total,Total,1,4.9,1118407,AusPlay adult table; 15-17 age group excluded and moved to children file
10,Adults 18+,Tennis,Gender,Males,2,5.8,648073,AusPlay adult table; 15-17 age group excluded and moved to children file
10,Adults 18+,Tennis,Gender,Females,3,4.1,469133,AusPlay adult table; 15-17 age group excluded and moved to children file
10,Adults 18+,Tennis,Age group,18-24,4,7.5,185484,AusPlay adult table; 15-17 age group excluded and moved to children file
10,Adults 18+,Tennis,Age group,25-34,5,6.5,263537,AusPlay adult table; 15-17 age group excluded and moved to children file
10,Adults 18+,Tennis,Age group,35-44,6,5.3,205044,AusPlay adult table; 15-17 age group excluded and moved to children file
10,Adults 18+,Tennis,Age group,45-54,7,5.3,176120,AusPlay adult table; 15-17 age group excluded and moved to children file
10,Adults 18+,Tennis,Age group,55-64,8,3.3,101658,AusPlay adult table; 15-17 age group excluded and moved to children file
10,Adults 18+,Tennis,Age group,65+,9,1.9,91192,AusPlay adult table; 15-17 age group excluded and moved to children file
