rank,cohort,activity,segment_type,segment,segment_order,participation_rate_pct,estimated_participants
6,Adults 18+,Cycling,Age group,65+,9,5.6,265489
7,Adults 18+,Pilates,Total,Total,1,7.2,1625325
7,Adults 18+,Pilates,Gender,Males,2,1.2,133940
7,Adults 18+,Pilates,Gender,Females,3,13,1485621
7,Adults 18+,Pilates,Age group,18-24,4,8.8,217009
7,Adults 18+,Pilates,Age group,25-34,5,11,448430
7,Adults 18+,Pilates,Age group,35-44,6,8.7,338305
7,Adults 18+,Pilates,Age group,45-54,7,7.1,238313
7,Adults 18+,Pilates,Age group,55-64,8,6.3,193472
7,Adults 18+,Pilates,Age group,65+,9,3.2,151963
8,Adults 18+,Football/soccer,Total,Total,1,5.6,1273027
8,Adults 18+,Football/soccer,Gender,Males,2,8.9,984043
8,Adults 18+,Football/soccer,Gender,Females,3,2.5,285765
8,Adults 18+,Football/soccer,Age group,18-24,4,12.3,305475
8,Adults 18+,Football/soccer,Age group,25-34,5,9.4,380740
8,Adults 18+,Football/soccer,Age group,35-44,6,6.9,269541
8,Adults 18+,Football/soccer,Age group,45-54,7,3.3,109556
8,Adults 18+,Football/soccer,Age group,55-64,8,1,29506
8,Adults 18+,Football/soccer,Age group,65+,9,0.1,6496
9,Adults 18+,Yoga,Total,Total,1,5.1,1148005
9,Adults 18+,Yoga,Gender,Males,2,1.6,176385
9,Adults 18+,Yoga,Gender,Females,3,8.5,968047
9,Adults 18+,Yoga,Age group,18-24,4,3.6,89360
9,Adults 18+,Yoga,Age group,25-34,5,6.4,261525
9,Adults 18+,Yoga,Age group,35-44,6,6.3,243997
9,Adults 18+,Yoga,Age group,45-54,7,6.1,204092
9,Adults 18+,Yoga,Age group,55-64,8,5.6,172134
9,Adults 18+,Yoga,Age group,65+,9,3.2,150682
10,Adults 18+,Tennis,Total,Total,1,4.9,1118407
10,Adults 18+,Tennis,Gender,Males,2,5.8,648073
10,Adults 18+,Tennis,Gender,Females,3,4.1,469133
10,Adults 18+,Tennis,Age group,18-24,4,7.5,185484
10,Adults 18+,Tennis,Age group,25-34,5,6.5,263537
10,Adults 18+,Tennis,Age group,35-44,6,5.3,205044
10,Adults 18+,Tennis,Age group,45-54,7,5.3,176120
10,Adults 18+,Tennis,Age group,55-64,8,3.3,101658
10,Adults 18+,Tennis,Age group,65+,9,1.9,91192
