rank,cohort,activity,segment_type,segment,segment_order,participation_rate_pct,estimated_participants,source_table_note
9,Children and teens 0-17,Cricket,Age group,12-14,7,5.5,55726,AusPlay children table
9,Children and teens 0-17,Cricket,Age group,15-17,8,8.4,85087,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
10,Children and teens 0-17,"Athletics, track and field",Total,Total,1,3.2,156813,AusPlay children table
10,Children and teens 0-17,"Athletics, track and field",Gender,Males,2,2.8,68521,AusPlay children table
10,Children and teens 0-17,"Athletics, track and field",Gender,Females,3,3.8,87691,AusPlay children table
10,Children and teens 0-17,"Athletics, track and field",Age group,0-4,4,1.2,17498,AusPlay children table
10,Children and teens 0-17,"Athletics, track and field",Age group,5-8,5,3.6,46628,AusPlay children table
10,Children and teens 0-17,"Athletics, track and field",Age group,9-11,6,4.4,44346,AusPlay children table
10,Children and teens 0-17,"Athletics, track and field",Age group,12-14,7,4.8,48341,AusPlay children table
10,Children and teens 0-17,"Athletics, track and field",Age group,15-17,8,5.8,58056,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
